matter_id,cnr,filing_no,filing_date,disposal_date,court_name,case_status,case_typology,case_category,matter_type,main_matter_id,updated_on,registration_number
571881,,2709138017962022,2022-03-31,2022-04-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/899/MB/2022
571882,,2709138057752021,2021-11-18,2023-12-19,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2737/MB/2021
571883,,2709138057132021,2021-11-16,2022-06-02,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2708/MB/2021
571884,,2709138053852021,2021-10-27,2021-12-03,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2562/MB/2021
571885,,2709138053822021,2021-10-27,2021-12-03,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2577/MB/2021
571886,,2709138051402021,2021-10-14,2022-04-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2450/MB/2021
571887,,2709138051382021,2021-10-14,2022-04-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2470/MB/2021
571888,,2709138051392021,2021-10-14,2022-04-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2449/MB/2021
571889,,2709138049002021,2021-10-02,2023-11-08,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-24,IA(I.B.C)/2281/MB/2021
572136,,2709138003582023,2023-01-13,2024-02-16,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/831/MB/2023
572204,,2709138108022023,2023-12-29,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,
572225,,2709138106932023,2023-12-22,2024-01-09,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/87/MB/2024
572226,,2709138065372023,2023-07-29,2025-03-17,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/3345/MB/2023
572227,,2709138058742023,2023-07-13,2023-09-25,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/3470/MB/2023
572455,,2709138023452023,2023-03-17,2024-10-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-21,IA(I.B.C)/3167/MB/2023
572456,,2709138005822023,2023-01-17,2023-04-18,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-21,IA(I.B.C)/1421/MB/2023
572457,,2709138068302022,2022-11-04,2023-02-06,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-21,IA(I.B.C)/436/MB/2023
572458,,2709138014762022,2022-03-16,2023-03-17,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-21,IA(I.B.C)/736/MB/2022
572463,,2709138064152023,2023-07-25,2023-08-01,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3285/MB/2023
572464,,2709138056612023,2023-07-06,2023-07-31,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2845/MB/2023
572520,,2709138091362023,2023-10-24,2023-11-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/5298/MB/2023
572595,,2709138095972023,2023-11-10,2023-11-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/5296/MB/2023
572596,,2709138067682023,2023-08-07,2023-08-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3535/MB/2023
572597,,2709138061552023,2023-07-17,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,
572598,,2709138039312023,2023-05-04,2023-11-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1899/MB/2023
572599,,2709138017352023,2023-02-27,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/805/MB/2023
572640,,2709138028102023,2023-03-31,2023-04-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1302/MB/2023
572641,,2709138079742022,2022-12-17,2022-12-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3863/MB/2022
572692,,2709138079962023,2023-09-19,2023-10-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/4538/MB/2023
572702,,2709138074412023,2023-08-30,2023-09-04,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/3972/MB/2023
